(venv) [tuanmacbookpro@Tuans-MacBook-Pro-2 untitled folder 3 ]$ python main.py
✅ P_02/P_02_mat_000.png | Before: 6.85 KB | After: 3.14 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_01/P_01_mat_012.png | Before: 2.66 KB | After: 2.72 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_01/P_01_mat_006.png | Before: 2.91 KB | After: 3.04 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_01/P_01_mat_005.png | Before: 2.76 KB | After: 2.80 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_01/P_01_mat_011.png | Before: 3.54 KB | After: 3.75 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_01/P_01_mat_014.png | Before: 2.73 KB | After: 2.79 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_01/P_01_mat_002.png | Before: 3.56 KB | After: 3.81 KB
⚠️ MakerAll-Stars SkinPack/Skin_graphics/P_01/P_01_mat_016.png | Before: 2.24 KB | After: 2.33 KB
✅ MakerAll-Stars SkinPack/Skin_graphics/P_01/P_01_mat_003.png | Before: 7.32 KB | After: 2.44 KB
✅ templates/objects/ui/emotionicons/common/E_001_emote_09.png | Before: 0.89 KB | After: 0.88 KB
✅ templates/objects/ui/emotionicons/common/E_001_emote_08.png | Before: 0.71 KB | After: 0.69 KB
✅ templates/objects/ui/emotionicons/common/E_001_emote_03.png | Before: 0.23 KB | After: 0.19 KB
✅ templates/objects/ui/emotionicons/common/E_001_emote_02.png | Before: 0.46 KB | After: 0.43 KB
✅ templates/objects/ui/emotionicons/common/E_001_emote_01.png | Before: 0.49 KB | After: 0.44 KB
✅ templates/objects/ui/emotionicons/common/E_001_emote_05.png | Before: 0.47 KB | After: 0.43 KB
✅ templates/objects/ui/emotionicons/common/E_001_emote_04.png | Before: 0.69 KB | After: 0.68 KB
✅ templates/objects/ui/emotionicons/common/E_001_emote_06.png | Before: 2.12 KB | After: 0.61 KB
✅ templates/objects/ui/emotionicons/common/E_001_emote_07.png | Before: 0.49 KB | After: 0.46 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_window_system_01.png | Before: 24.28 KB | After: 22.17 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_gauge_mini_01.png | Before: 1.17 KB | After: 1.10 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_gauge_mini_03.png | Before: 1.78 KB | After: 0.26 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_gauge_mini_02.png | Before: 0.55 KB | After: 0.50 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_name_plate_01.png | Before: 14.50 KB | After: 12.41 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_hp_vertical_01.png | Before: 4.55 KB | After: 4.32 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_hp_horizontal_01.png | Before: 6.08 KB | After: 4.30 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_hp_vertical_02.png | Before: 1.97 KB | After: 1.90 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_hp_horizontal_02.png | Before: 1.77 KB | After: 1.66 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_hp_horizontal_03.png | Before: 0.58 KB | After: 0.53 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_hp_vertical_03.png | Before: 0.76 KB | After: 0.73 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_icon_text_01.png | Before: 918.68 KB | After: 3.75 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_skillbar_01.png | Before: 925.78 KB | After: 10.24 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_window_text_01.png | Before: 18.39 KB | After: 16.20 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_itemicon_01.png | Before: 12.11 KB | After: 11.98 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_variable_01.png | Before: 19.18 KB | After: 16.76 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_hp_circle_01.png | Before: 50.64 KB | After: 48.13 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_hp_circle_03.png | Before: 920.62 KB | After: 4.75 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_hp_circle_02.png | Before: 11.42 KB | After: 11.19 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_gauge_boss_01.png | Before: 933.56 KB | After: 18.52 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_gauge_boss_03.png | Before: 0.41 KB | After: 0.37 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_plate_select_01.png | Before: 27.81 KB | After: 25.90 KB
✅ templates/objects/ui/interfaces/variation_02/I_002_gauge_boss_02.png | Before: 0.43 KB | After: 0.39 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_name_plate_01.png | Before: 0.74 KB | After: 0.70 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_hp_horizontal_02.png | Before: 2.20 KB | After: 0.49 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_hp_horizontal_03.png | Before: 1.82 KB | After: 0.46 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_gauge_mini_01.png | Before: 2.14 KB | After: 0.45 KB
⚠️ templates/objects/ui/interfaces/variation_03/I_003_icon_text_01.png | Before: 1.77 KB | After: 1.82 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_gauge_mini_03.png | Before: 1.89 KB | After: 0.22 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_hp_horizontal_01.png | Before: 1.81 KB | After: 0.46 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_gauge_mini_02.png | Before: 1.79 KB | After: 0.46 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_window_system_01.png | Before: 3.68 KB | After: 3.60 KB
⚠️ templates/objects/ui/interfaces/variation_03/I_003_window_text_01.png | Before: 5.17 KB | After: 5.26 KB
⚠️ templates/objects/ui/interfaces/variation_03/I_003_hp_circle_01.png | Before: 15.96 KB | After: 16.42 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_hp_vertical_01.png | Before: 0.64 KB | After: 0.60 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_hp_circle_02.png | Before: 18.39 KB | After: 15.69 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_hp_vertical_03.png | Before: 0.64 KB | After: 0.61 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_hp_vertical_02.png | Before: 0.66 KB | After: 0.64 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_hp_circle_03.png | Before: 13.59 KB | After: 11.36 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_variable_01.png | Before: 1.53 KB | After: 1.47 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_gauge_boss_01.png | Before: 3.93 KB | After: 1.96 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_gauge_boss_03.png | Before: 2.14 KB | After: 0.39 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_gauge_boss_02.png | Before: 3.78 KB | After: 1.99 KB
⚠️ templates/objects/ui/interfaces/variation_03/I_003_skillbar_01.png | Before: 1.82 KB | After: 1.82 KB
⚠️ templates/objects/ui/interfaces/variation_03/I_003_plate_select_01.png | Before: 12.15 KB | After: 12.24 KB
✅ templates/objects/ui/interfaces/variation_03/I_003_itemicon_01.png | Before: 2.32 KB | After: 0.85 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_hp_vertical_02.png | Before: 0.45 KB | After: 0.41 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_hp_vertical_03.png | Before: 0.44 KB | After: 0.40 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_hp_vertical_01.png | Before: 2.63 KB | After: 2.59 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_name_plate_01.png | Before: 2.98 KB | After: 2.64 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_gauge_mini_03.png | Before: 0.32 KB | After: 0.28 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_hp_circle_01.png | Before: 14.65 KB | After: 12.07 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_gauge_mini_02.png | Before: 0.33 KB | After: 0.29 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_hp_circle_03.png | Before: 5.34 KB | After: 3.40 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_hp_circle_02.png | Before: 2.34 KB | After: 1.63 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_gauge_mini_01.png | Before: 1.45 KB | After: 1.29 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_hp_horizontal_02.png | Before: 0.33 KB | After: 0.29 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_gauge_boss_03.png | Before: 2.04 KB | After: 0.66 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_gauge_boss_02.png | Before: 0.50 KB | After: 0.46 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_hp_horizontal_03.png | Before: 0.34 KB | After: 0.30 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_hp_horizontal_01.png | Before: 2.61 KB | After: 2.54 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_gauge_boss_01.png | Before: 3.07 KB | After: 3.04 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_variable_01.png | Before: 0.62 KB | After: 0.48 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_plate_select_01.png | Before: 4.95 KB | After: 4.58 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_itemicon_01.png | Before: 1.04 KB | After: 0.78 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_icon_text_01.png | Before: 0.99 KB | After: 0.86 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_skillbar_01.png | Before: 4.28 KB | After: 3.91 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_window_text_01.png | Before: 916.74 KB | After: 2.16 KB
✅ templates/objects/ui/interfaces/variation_04/I_004_window_system_01.png | Before: 4.56 KB | After: 4.20 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_hp_circle_03.png | Before: 3.65 KB | After: 3.43 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_hp_circle_02.png | Before: 15.09 KB | After: 12.77 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_hp_circle_01.png | Before: 63.07 KB | After: 59.44 KB
⚠️ templates/objects/ui/interfaces/variation_01/I_001_skillbar_01.png | Before: 6.90 KB | After: 7.17 KB
⚠️ templates/objects/ui/interfaces/variation_01/I_001_itemicon_01.png | Before: 19.33 KB | After: 19.43 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_hp_vertical_03.png | Before: 3.06 KB | After: 1.50 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_hp_vertical_02.png | Before: 2.43 KB | After: 2.39 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_name_plate_01.png | Before: 35.47 KB | After: 31.72 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_hp_vertical_01.png | Before: 23.20 KB | After: 20.72 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_variable_01.png | Before: 14.31 KB | After: 11.93 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_gauge_mini_01.png | Before: 3.99 KB | After: 3.89 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_gauge_mini_03.png | Before: 0.45 KB | After: 0.41 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_gauge_mini_02.png | Before: 0.56 KB | After: 0.52 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_hp_horizontal_03.png | Before: 0.90 KB | After: 0.85 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_hp_horizontal_02.png | Before: 2.30 KB | After: 2.25 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_gauge_boss_01.png | Before: 920.70 KB | After: 5.59 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_gauge_boss_03.png | Before: 0.37 KB | After: 0.33 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_hp_horizontal_01.png | Before: 13.06 KB | After: 10.86 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_gauge_boss_02.png | Before: 0.36 KB | After: 0.32 KB
⚠️ templates/objects/ui/interfaces/variation_01/I_001_icon_text_01.png | Before: 3.57 KB | After: 3.62 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_window_text_01.png | Before: 60.56 KB | After: 54.06 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_plate_select_01.png | Before: 53.25 KB | After: 48.85 KB
✅ templates/objects/ui/interfaces/variation_01/I_001_window_system_01.png | Before: 1018.48 KB | After: 95.27 KB
✅ templates/objects/weapons/W_008/W_008_bastardsword.png | Before: 1.94 KB | After: 0.62 KB
✅ templates/objects/weapons/W_006/W_006_knife.png | Before: 1.72 KB | After: 0.41 KB
✅ templates/objects/weapons/W_001/W_001_sword.png | Before: 1.74 KB | After: 0.44 KB
✅ templates/objects/weapons/W_000/W_000_saber.png | Before: 1.69 KB | After: 0.37 KB
✅ templates/objects/weapons/W_007/W_007_katana.png | Before: 1.76 KB | After: 0.44 KB
✅ templates/objects/weapons/W_009/W_009_warhammer.png | Before: 2.13 KB | After: 0.80 KB
✅ templates/objects/weapons/P_001/P_001_dark.png | Before: 0.56 KB | After: 0.56 KB
✅ templates/objects/weapons/P_006/P_006_stone.png | Before: 0.28 KB | After: 0.28 KB
✅ templates/objects/weapons/P_008/P_008_bone.png | Before: 0.36 KB | After: 0.35 KB
⚠️ templates/objects/weapons/P_009/P_009_harpoon.png | Before: 0.67 KB | After: 0.68 KB
✅ templates/objects/weapons/P_007/P_007_cocktail.png | Before: 1.85 KB | After: 0.57 KB
✅ templates/objects/weapons/W_014/W_014_hook.png | Before: 1.92 KB | After: 0.58 KB
✅ templates/objects/weapons/W_013/W_013_chain.png | Before: 1.84 KB | After: 0.52 KB
✅ templates/objects/weapons/W_012/W_012_boomerang.png | Before: 1.92 KB | After: 0.60 KB
✅ templates/objects/weapons/W_002/W_002_spear.png | Before: 1.82 KB | After: 0.49 KB
✅ templates/objects/weapons/W_005/W_005_gun.png | Before: 0.38 KB | After: 0.34 KB
✅ templates/objects/weapons/W_004/W_004_trident.png | Before: 2.08 KB | After: 0.75 KB
✅ templates/objects/weapons/W_003/W_003_lance.png | Before: 1.75 KB | After: 0.44 KB
✅ templates/objects/weapons/P_005/P_005_bolt.png | Before: 0.58 KB | After: 0.56 KB
✅ templates/objects/weapons/P_002/P_002_fire.png | Before: 0.52 KB | After: 0.49 KB
✅ templates/objects/weapons/P_003/P_003_ice.png | Before: 0.52 KB | After: 0.50 KB
✅ templates/objects/weapons/P_010/P_010_spit.png | Before: 0.38 KB | After: 0.36 KB
✅ templates/objects/weapons/W_010/W_010_handaxe.png | Before: 2.11 KB | After: 0.78 KB
✅ templates/objects/weapons/W_011/W_011_kunai.png | Before: 1.70 KB | After: 0.38 KB
✅ templates/objects/particles/common/particle27.png | Before: 3.04 KB | After: 2.90 KB
✅ templates/objects/particles/common/particle26.png | Before: 10.14 KB | After: 9.37 KB
✅ templates/objects/particles/common/particle24.png | Before: 23.73 KB | After: 23.17 KB
✅ templates/objects/particles/common/particle30.png | Before: 0.91 KB | After: 0.83 KB
✅ templates/objects/particles/common/particle18.png | Before: 1.62 KB | After: 1.53 KB
✅ templates/objects/particles/common/particle19.png | Before: 2.92 KB | After: 2.89 KB
✅ templates/objects/particles/common/particle31.png | Before: 6.25 KB | After: 6.19 KB
✅ templates/objects/particles/common/particle25.png | Before: 45.45 KB | After: 44.38 KB
✅ templates/objects/particles/common/particle09.png | Before: 0.10 KB | After: 0.10 KB
✅ templates/objects/particles/common/particle21.png | Before: 4.65 KB | After: 4.65 KB
✅ templates/objects/particles/common/particle20.png | Before: 3.63 KB | After: 3.63 KB
⚠️ templates/objects/particles/common/particle08.png | Before: 0.49 KB | After: 0.49 KB
✅ templates/objects/particles/common/particle22.png | Before: 9.12 KB | After: 8.84 KB
✅ templates/objects/particles/common/particle23.png | Before: 1.07 KB | After: 0.13 KB
✅ templates/objects/particles/common/particle12.png | Before: 0.45 KB | After: 0.45 KB
✅ templates/objects/particles/common/particle06.png | Before: 0.48 KB | After: 0.48 KB
✅ templates/objects/particles/common/particle07.png | Before: 0.47 KB | After: 0.47 KB
✅ templates/objects/particles/common/particle13.png | Before: 0.16 KB | After: 0.16 KB
✅ templates/objects/particles/common/particle05.png | Before: 0.21 KB | After: 0.21 KB
✅ templates/objects/particles/common/particle11.png | Before: 0.13 KB | After: 0.13 KB
✅ templates/objects/particles/common/particle10.png | Before: 0.37 KB | After: 0.37 KB
✅ templates/objects/particles/common/particle04.png | Before: 0.39 KB | After: 0.38 KB
✅ templates/objects/particles/common/particle28.png | Before: 0.84 KB | After: 0.08 KB
✅ templates/objects/particles/common/particle14.png | Before: 0.35 KB | After: 0.34 KB
✅ templates/objects/particles/common/particle15.png | Before: 0.73 KB | After: 0.69 KB
✅ templates/objects/particles/common/particle01.png | Before: 0.20 KB | After: 0.20 KB
✅ templates/objects/particles/common/particle29.png | Before: 2.72 KB | After: 2.66 KB
✅ templates/objects/particles/common/particle17.png | Before: 1.49 KB | After: 1.44 KB
✅ templates/objects/particles/common/particle03.png | Before: 0.34 KB | After: 0.34 KB
✅ templates/objects/particles/common/particle02.png | Before: 0.37 KB | After: 0.37 KB
✅ templates/objects/particles/common/particle16.png | Before: 2.10 KB | After: 2.07 KB
⚠️ templates/objects/decorations/D_002/D_002_savepoint_light.png | Before: 1.93 KB | After: 2.65 KB
✅ templates/objects/decorations/D_002/D_002_savepoint_00_00.png | Before: 915.61 KB | After: 2.04 KB
✅ templates/objects/decorations/D_002/D_002_savepoint_00_01.png | Before: 914.36 KB | After: 0.83 KB
✅ templates/objects/decorations/D_002/D_002_savepoint_00.png | Before: 916.08 KB | After: 2.35 KB
✅ templates/objects/decorations/D_011/D_011_candle_01.png | Before: 913.87 KB | After: 0.32 KB
⚠️ templates/objects/decorations/D_010/D_010_torch_02.png | Before: 23.48 KB | After: 26.59 KB
✅ templates/objects/decorations/D_010/D_010_torch_01.png | Before: 0.36 KB | After: 0.35 KB
⚠️ templates/objects/bosses/B_02/B_02_mat_001_02.png | Before: 184.63 KB | After: 185.67 KB
⚠️ templates/objects/bosses/B_02/B_02_mat_001_01.png | Before: 193.60 KB | After: 196.39 KB
⚠️ templates/objects/bosses/B_02/B_02_mat_000_01.png | Before: 45.24 KB | After: 47.53 KB
⚠️ templates/objects/bosses/B_02/B_02_mat_000_02.png | Before: 41.57 KB | After: 43.30 KB
✅ templates/objects/bosses/B_01/B_01_mat_000.png | Before: 6.05 KB | After: 5.59 KB
✅ templates/objects/items/I_002/I_002_heart_big_01.png | Before: 914.30 KB | After: 0.36 KB
✅ templates/objects/items/I_002/I_002_heart_big_00.png | Before: 914.31 KB | After: 0.37 KB
✅ templates/objects/items/I_002/I_002_heart_big_02.png | Before: 914.33 KB | After: 0.38 KB
✅ templates/objects/items/I_002/I_002_heart_small_02.png | Before: 914.27 KB | After: 0.33 KB
✅ templates/objects/items/I_002/I_002_heart_small_00.png | Before: 914.27 KB | After: 0.33 KB
✅ templates/objects/items/I_002/I_002_heart_small_01.png | Before: 914.28 KB | After: 0.35 KB
✅ templates/objects/items/I_005/I_005_jewel_04.png | Before: 4.05 KB | After: 3.18 KB
✅ templates/objects/items/I_005/I_005_jewel_01.png | Before: 4.05 KB | After: 3.17 KB
✅ templates/objects/items/I_005/I_005_jewel_00.png | Before: 914.54 KB | After: 0.63 KB
✅ templates/objects/items/I_005/I_005_jewel_02.png | Before: 3.93 KB | After: 3.04 KB
✅ templates/objects/items/I_005/I_005_jewel_03.png | Before: 4.05 KB | After: 3.17 KB
✅ templates/objects/items/I_004/I_004_coin_silver_03.png | Before: 914.49 KB | After: 0.60 KB
✅ templates/objects/items/I_004/I_004_coin_silver_02.png | Before: 914.46 KB | After: 0.56 KB
✅ templates/objects/items/I_004/I_004_coin_silver_00.png | Before: 914.46 KB | After: 0.56 KB
✅ templates/objects/items/I_004/I_004_coin_silver_01.png | Before: 914.46 KB | After: 0.56 KB
✅ templates/objects/items/I_004/I_004_coin_gold_01.png | Before: 914.49 KB | After: 0.56 KB
✅ templates/objects/items/I_004/I_004_coin_gold_00.png | Before: 914.49 KB | After: 0.56 KB
✅ templates/objects/items/I_004/I_004_coin_gold_02.png | Before: 914.51 KB | After: 0.58 KB
✅ templates/objects/items/I_004/I_004_coin_gold_03.png | Before: 914.51 KB | After: 0.57 KB
✅ templates/objects/items/I_004/I_004_coin_small_00.png | Before: 914.32 KB | After: 0.40 KB
✅ templates/objects/items/I_003/I_003_potion_small_03.png | Before: 914.47 KB | After: 0.53 KB
✅ templates/objects/items/I_003/I_003_potion_small_02.png | Before: 914.46 KB | After: 0.52 KB
✅ templates/objects/items/I_003/I_003_potion_small_00.png | Before: 914.44 KB | After: 0.51 KB
✅ templates/objects/items/I_003/I_003_potion_small_01.png | Before: 914.47 KB | After: 0.52 KB
✅ templates/objects/items/I_003/I_003_potion_small_05.png | Before: 914.47 KB | After: 0.52 KB
✅ templates/objects/items/I_003/I_003_potion_small_04.png | Before: 914.46 KB | After: 0.52 KB
✅ templates/objects/items/I_003/I_003_potion_small_06.png | Before: 914.46 KB | After: 0.52 KB
✅ templates/objects/items/I_003/I_003_potion_middle_04-76.png | Before: 914.74 KB | After: 0.82 KB
✅ templates/objects/items/I_003/I_003_potion_big_04.png | Before: 914.88 KB | After: 1.01 KB
✅ templates/objects/items/I_003/I_003_potion_middle_04.png | Before: 914.73 KB | After: 0.82 KB
✅ templates/objects/items/I_003/I_003_potion_middle_05.png | Before: 914.73 KB | After: 0.80 KB
✅ templates/objects/items/I_003/I_003_potion_big_05.png | Before: 914.87 KB | After: 0.98 KB
✅ templates/objects/items/I_003/I_003_potion_middle_06.png | Before: 914.74 KB | After: 0.82 KB
✅ templates/objects/items/I_003/I_003_potion_big_06.png | Before: 914.87 KB | After: 0.96 KB
✅ templates/objects/items/I_003/I_003_potion_big_02.png | Before: 914.84 KB | After: 0.94 KB
✅ templates/objects/items/I_003/I_003_potion_middle_02.png | Before: 914.70 KB | After: 0.78 KB
✅ templates/objects/items/I_003/I_003_potion_middle_03.png | Before: 914.71 KB | After: 0.79 KB
✅ templates/objects/items/I_003/I_003_potion_big_03.png | Before: 914.84 KB | After: 0.94 KB
✅ templates/objects/items/I_003/I_003_potion_big_01.png | Before: 914.82 KB | After: 0.93 KB
✅ templates/objects/items/I_003/I_003_potion_middle_01.png | Before: 914.69 KB | After: 0.77 KB
✅ templates/objects/items/I_003/I_003_potion_middle_00.png | Before: 914.64 KB | After: 0.72 KB
✅ templates/objects/items/I_003/I_003_potion_big_00.png | Before: 914.79 KB | After: 0.90 KB
⚠️ templates/objects/items/I_008/I_008_bomb_01.png | Before: 0.53 KB | After: 0.54 KB
✅ templates/objects/items/I_008/I_008_bomb_00.png | Before: 0.46 KB | After: 0.45 KB
✅ templates/objects/items/I_006/I_006_scroll_02.png | Before: 914.49 KB | After: 0.56 KB
✅ templates/objects/items/I_006/I_006_scroll_03.png | Before: 914.45 KB | After: 0.53 KB
✅ templates/objects/items/I_006/I_006_scroll_01.png | Before: 914.52 KB | After: 0.60 KB
✅ templates/objects/items/I_006/I_006_scroll_00.png | Before: 914.46 KB | After: 0.52 KB
✅ templates/objects/items/I_006/I_006_scroll_04.png | Before: 914.46 KB | After: 0.54 KB
✅ templates/objects/items/I_006/I_006_scroll_05.png | Before: 914.46 KB | After: 0.52 KB
✅ templates/objects/items/I_006/I_006_scroll_07.png | Before: 914.53 KB | After: 0.60 KB
✅ templates/objects/items/I_006/I_006_scroll_06.png | Before: 914.47 KB | After: 0.54 KB
✅ templates/objects/items/I_001/I_001_turkey_00.png | Before: 914.70 KB | After: 0.81 KB
✅ templates/objects/items/I_007/I_007_herb_04.png | Before: 914.55 KB | After: 0.66 KB
✅ templates/objects/items/I_007/I_007_herb_01.png | Before: 914.52 KB | After: 0.62 KB
✅ templates/objects/items/I_007/I_007_herb_00.png | Before: 914.51 KB | After: 0.62 KB
✅ templates/objects/items/I_007/I_007_herb_02.png | Before: 914.53 KB | After: 0.65 KB
✅ templates/objects/items/I_007/I_007_herb_03.png | Before: 914.55 KB | After: 0.66 KB
✅ templates/objects/characters/P_02/P_02_mat_000.png | Before: 6.85 KB | After: 3.14 KB
✅ templates/objects/characters/P_01/P_01_mat_000.png | Before: 7.18 KB | After: 3.30 KB
⚠️ templates/objects/effects/common/Firebreath_00.png | Before: 20.03 KB | After: 22.63 KB
✅ templates/objects/effects/common/Claw_001.png | Before: 6.44 KB | After: 4.90 KB
⚠️ templates/objects/effects/common/Aura_000.png | Before: 6.40 KB | After: 6.84 KB
✅ templates/objects/effects/common/Fire_001.png | Before: 1.53 KB | After: 0.26 KB
✅ templates/objects/effects/common/ShockWave_A_002.png | Before: 1364.57 KB | After: 51.21 KB
✅ templates/objects/effects/common/ShockWave_A_003.png | Before: 1373.80 KB | After: 61.85 KB
✅ templates/objects/effects/common/Fire_000.png | Before: 3.34 KB | After: 1.62 KB
✅ templates/objects/effects/common/Claw_000.png | Before: 8.54 KB | After: 7.03 KB
⚠️ templates/objects/effects/common/Firebreath_01.png | Before: 40.70 KB | After: 47.32 KB
✅ templates/objects/effects/common/Throw_002.png | Before: 913.72 KB | After: 0.66 KB
✅ templates/objects/effects/common/Throw_000.png | Before: 914.62 KB | After: 1.15 KB
